# Xbs Ybs THbs Xgl Ygl THgl Xlc Ylc THlc time
-0.016683 -0.141440 18.136283  0.554226 0.371560 1.131069  0.170745 1.330926 -9.650454  1445405518.959595
-0.005231 -0.151115 18.162699  0.560448 0.385200 1.157486  0.156095 1.334108 -9.624038  1445405519.010051
0.006473 -0.160470 18.190639  0.566294 0.398996 1.185426  0.141372 1.336890 -9.596098  1445405519.060518
0.018445 -0.169494 18.219878  0.571748 0.412960 1.214664  0.126567 1.339253 -9.566860  1445405519.110713
0.030667 -0.178147 18.250358  0.576777 0.427065 1.245144  0.111716 1.341172 -9.536380  1445405519.160905
0.043167 -0.186431 18.281544  0.581376 0.441339 1.276330  0.096791 1.342634 -9.505194  1445405519.211266
0.055926 -0.194317 18.313604  0.585523 0.455754 1.308391  0.081824 1.343624 -9.473133  1445405519.261741
0.068923 -0.201780 18.346484  0.589197 0.470284 1.341270  0.066845 1.344128 -9.440254  1445405519.312263
0.082165 -0.208809 18.380181  0.592387 0.484932 1.374967  0.051854 1.344133 -9.406556  1445405519.362810
0.097037 -0.216033 18.418112  0.595325 0.501202 1.412898  0.035331 1.343548 -9.368626  1445405519.413242
0.110751 -0.222087 18.453390  0.597450 0.516042 1.448176  0.020378 1.342472 -9.333348  1445405519.463694
0.124657 -0.227645 18.488894  0.599044 0.530932 1.483680  0.005489 1.340867 -9.297844  1445405519.514147
0.138741 -0.232697 18.525047  0.600104 0.545857 1.519833  -0.009320 1.338732 -9.261691  1445405519.564483
0.153019 -0.237238 18.562244  0.600619 0.560832 1.557030  -0.024062 1.336055 -9.224494  1445405519.614958
0.167426 -0.241232 18.599497  0.600572 0.575782 1.594284  -0.038661 1.332833 -9.187240  1445405519.665435
0.182014 -0.244703 18.636215  0.599973 0.590765 1.631001  -0.053176 1.329065 -9.150523  1445405519.715905
0.196728 -0.247636 18.673158  0.598822 0.605725 1.667944  -0.067549 1.324762 -9.113580  1445405519.766380
0.211525 -0.250018 18.710327  0.597118 0.620615 1.705113  -0.081738 1.319935 -9.076411  1445405519.816845
0.226388 -0.251847 18.747693  0.594864 0.635419 1.742480  -0.095725 1.314587 -9.039044  1445405519.867295
0.242823 -0.253216 18.789011  0.591742 0.651613 1.783797  -0.110886 1.308097 -8.997727  1445405519.917717
0.257808 -0.253873 18.826208  0.588327 0.666219 1.820994  -0.124433 1.301657 -8.960530  1445405519.968032
0.272787 -0.253968 18.863716  0.584372 0.680666 1.858502  -0.137711 1.294723 -8.923022  1445405520.018480
0.287755 -0.253504 18.901139  0.579881 0.694952 1.895925  -0.150717 1.287301 -8.885599  1445405520.068894
0.302723 -0.252479 18.938477  0.574851 0.709087 1.933263  -0.163460 1.279382 -8.848261  1445405520.119298
0.317627 -0.250902 18.975194  0.569306 0.723011 1.969980  -0.175889 1.271006 -8.811543  1445405520.169724
0.332455 -0.248780 19.011742  0.563257 0.736714 2.006528  -0.187995 1.262185 -8.774995  1445405520.220254
0.347204 -0.246117 19.048234  0.556709 0.750195 2.043020  -0.199777 1.252922 -8.738504  1445405520.270740
0.361903 -0.242908 19.084387  0.549648 0.763480 2.079173  -0.211259 1.243200 -8.702351  1445405520.321333
0.376424 -0.239184 19.120286  0.542139 0.776456 2.115072  -0.223436 1.232072 -8.662924  1445405520.371831
